tweet_id,text,author,created_at,favorite_count,retweet_count,language
2080536744999653642,"Meet Preeti Chaudhary, wife of a serving army man, who makes content on facebook.

Recently one of her reel reached 1 million views.

She suddenly started wearing uniform of her husband most probably to support CJP protest.

Talks against delhi police and makes allegations of https://t.co/IXGsl6uL2t",TheBongHead,Fri Jul 24 06:13:09 +0000 2026,2769,1020,en
2079975604846485588,"🚨 Another failed Muslim actor Imran Khan joined the CJP protest in Mumbai.

After Ayesha Khan, Sonakshi Sinha, and Urfi Javed, Imran Khan also joined the protest.

Just listen to the background chants: ""Jab Jab Modi darta hai, police ko aage karta hai.""

Why have Muslim actors https://t.co/G0EA1ZlcZj",Tejashyy,Wed Jul 22 17:03:22 +0000 2026,5301,1334,en
2080612704511807838,"Amid propaganda peddled on social media, Delhi Police releases CCTV footage of 20th July showing CJP goons breaking multiple barricades to head to Parliament despite multiple warnings, which led to a lathi-charge. https://t.co/TTLR3vzFLn",MeghUpdates,Fri Jul 24 11:14:59 +0000 2026,8153,2646,en
2080981721244463565,"Who are all these girls who suddenly showed up on the CJP protest stage, claiming credit for Dharmendra Pradhan's resignation and making reels?

They were never seen at the protest before.

So how did so many of them suddenly appear today just to celebrate?

Are they friends of https://t.co/VNsj0YCSRJ",SaffronChargers,Sat Jul 25 11:41:19 +0000 2026,326,90,en
2079974024126636200,"Shameful!

CJP Goons attacked Delhi Police https://t.co/gFvoqJuq9w",AnkurSingh,Wed Jul 22 16:57:06 +0000 2026,2894,1078,en
2079934945930473831,"For these South Delhi G-ndu Generation, CJP Protest is nothing but a tool to get Viral on Social Media!! https://t.co/ndtaBSNpRm",Iam_Rohit_G,Wed Jul 22 14:21:49 +0000 2026,3319,216,en
2080676037323903031,"These girls at the CJP protest are shouting extremely abusive and highly offensive slogans against India's Prime Minister Narendra Modi while laughing.

They are deliberately shouting abusive slogans at the Prime Minister just to become famous because they have no knowledge https://t.co/EbNETVskmH",SaffronChargers,Fri Jul 24 15:26:39 +0000 2026,1398,679,en
2080953762991235302,"Just as expected, CJP has no intention of ending this protest.

-Wangchuk's fast has ended.

-Dharmendra Pradhan has resigned.

Now Abhijeet Dipke has come up with three new demands

They just want to do Kejriwal style politics. https://t.co/rIPDKgOcya",AMIT_GUJJU,Sat Jul 25 09:50:14 +0000 2026,2547,461,en
2079256202090016862,"The Propaganda Machine Is Working  Overtime :

Sudhir Chaudhary labels the CJP protest ""Shaheen Bagh 2.0"". 🥵 https://t.co/LTOYj77PXg",Priyaa_Purohit,Mon Jul 20 17:24:43 +0000 2026,3616,724,en
2081005913041985809,"During peaceful UGC protest of Savarn Hindus : 
&gt; Ajeet Bharti was house arrested. 
&gt; Ruchi Tiwari was dragged on roads.
&gt; BJP govt remained silent.

During violant protest of CJP &amp; Bhim Army : 
&gt; CJP leaders were invited.
&gt; Narendra Modi responded. 
&gt; Dharmendra Pradhan https://t.co/6V4HxdfX9x",ImHydro45,Sat Jul 25 13:17:27 +0000 2026,297,102,en
2079955206138405236,My blood is boiling This CJP protest is about NEET students yet they are literally disrespecting Shri Ram. Do they really think they'll win by doing this https://t.co/C8RH1D43wh,ExposeDhonifan,Wed Jul 22 15:42:19 +0000 2026,2132,487,en
2079428633551392784,Another video shows CJP members attacking security forces and Delhi Police personnel. https://t.co/KPDQ2l3aEZ,TajinderBagga,Tue Jul 21 04:49:54 +0000 2026,4637,2574,en
2080152599093989407,"🚨 Nihang Sikhs are also exposing the CJP protest:

We came here to help the students, but some people are trying to provoke the police. The police are sitting peacefully, yet they are still being provoked.

They are damaging buses and public property, but at the end of the day, https://t.co/tkIqsGXAUA",Tejashyy,Thu Jul 23 04:46:41 +0000 2026,5507,1635,en
2080350521219797037,"This brave lady has reprimanded a Muslim reporter at CJP Protest 🚨🫡

Reporter: Do you think this protest will end the politics of BJP's Sanatan Dharma propaganda? 

She replied: ""First of all, Mind Your language before saying anything about Sanatan Dharma, and second if BJP is https://t.co/3QMltLdq18",CourageousRo,Thu Jul 23 17:53:09 +0000 2026,22130,3886,en
2080925418606272858,"#WATCH | Delhi: On the misleading and false information related to Jantar Mantar protest, DCP Central Rohit Rajbir Singh says, ""A protest has been going on at Jantar Mantar for the past several weeks by the Cockroach Janata Party... Information on social media goes viral very https://t.co/eStIyMXa1Y",ANI,Sat Jul 25 07:57:36 +0000 2026,1264,219,en
2080933087735935401,"BREAKING | 

Delhi Police Cracks Down on Misinformation Amid CJP Protest

Delhi Police says fake news, AI-generated videos, deepfakes and false social media narratives were used to create panic during the CJP protests at Jantar Mantar.

▪️ No woman died during the July 20 https://t.co/nC3Gry1GYc",iAtulKrishan1,Sat Jul 25 08:28:04 +0000 2026,39,24,en
2080735309982302516,"A man says Har Har Modi.
@abhijeet_dipke thugs descend on him and nearly lynch the man.
This is ‘CJP’ definition of peaceful protest.
In the heart of Delhi a murderous mob led by a woman ‘protestor’.
Violence: This is what this ‘protest’ is really about. https://t.co/r1vH0oW3wr",KanchanGupta,Fri Jul 24 19:22:10 +0000 2026,909,542,en
